,Subtitle,Emotion,Analyzer_Output,New_Emotion
8445,i can tell myself that i feel like i trust others and yet what i am actually feeling is loyal which can cause me to pretend that there is trust when there is none ,love,Positive,Passion
8446,i come home from work too often feeling irritable and it s not fair or loving to dump all that ugliness onto my husband ,anger,Neutral,Anger
8447,i feel optimistic about the remainder of our time in the military ,joy,Positive,Elation
8448,i really need to be at church to feel gods gentle touch in my life ,love,Positive,Passion
8449,i do feel pressure to provide my faithful reader with a mock draft ive decided to go forth promising to emphasise speculation rather than educated mock over draft ,love,Positive,Passion
8450,i use this as a ugh its been a long week lets make myself feel pretty mask and ive honestly been loving the effects ,love,Positive,Passion
8451,i leave his words feeling doubtful of the naight ever ending ,fear,Negative,Anxiety
8452,i feel so regretful about getting such high hopes on myself coz i thought i got the damn job and then spurging on things that i dont need when i can use those money to get something decent for both of us ,sadness,Negative,Despair
8453,i leave feeling defeated hopeless and too weak to keep pressing into god and recovery ,sadness,Neutral,Sadness
8454,i feel a cool breeze and think it might be cold but then i realize it is still degrees and humid outside ,joy,Neutral,Happiness
8455,i feel burdened by her and the fact that i have no help what so ever ,sadness,Neutral,Sadness
8456,i can just remember that when im feeling ungrateful that would be great ,sadness,Neutral,Sadness
8457,im feeling a bit smug that im doing a number of these things already walking and cycling advocacy lots of fruit and veggies and whole grains attending service every sunday ,joy,Negative,Discontentment
8458,i looked down at my sweet boy hudson i knew this was my calling and that his spirit needed me at all times even when im frustrated and feel helpless and lost as a mother ,sadness,Negative,Despair
8459,im not going to lie ive been feeling rather happy lately which is odd for me since im rarely happy when school is in session ,joy,Neutral,Happiness
8460,i wish i have the feeling back soon cause now i realise how lonely when i dont have the feeling its like soo unwanted even when i am not ,sadness,Negative,Despair
8461,i feel less bothered my get the rape stick out of your ass because i think a statement like that says a lot more about the speaker than the target ,anger,Negative,Resentment
8462,i feel like i should ask him if he is ok offer him some help prop the door open or something ,joy,Positive,Elation
8463,i also feel like maybe you dont want the real messy authentic mark ,sadness,Positive,Hopefulness
8464,i am not feeling well so i am hoping this mission goes fast ,joy,Positive,Elation
8465,i feel like this was a very productive year for me in that area ,joy,Positive,Elation
8466,i wasnt so terribly sore i would feel a bit regretful but theres papers to write and ebony dances to practice for ,sadness,Negative,Despair
8467,i feel more mellow again ,joy,Neutral,Happiness
8468,i have been labeled the accuser and for this reason i feel it is my responsibility to bring to your attention this information about whom you have believed to be faithful ,joy,Positive,Elation
8469,i feel the sting of pain from its teeth but im angered ,anger,Negative,Resentment
8470,i cant shake the feeling that when i drink vanilla protein powder and water it tastes like mashmellows in hot chocolate mix ,love,Positive,Passion
8471,i suspect those might also be factors in making him not feel rich ,joy,Neutral,Happiness
8472,i hope my generation will pass on good values and beliefs to the next generation because i feel that is very important ,joy,Positive,Elation
8473,i feel so honored to have this wonderful man as my husband ,joy,Positive,Elation
8474,i know my best friend thinks i m a legend xd she tells me i m hilarious and a badass when most of the time i feel like a wimpy dork ,fear,Positive,Courage
8475,im sad i feel that every heartbroken song was written just for me ,sadness,Negative,Despair
8476,i don t want people to feel offended by that request it could be viewed as too forward ,anger,Neutral,Anger
8477,i tend to come away feeling insulted by books that deny them ,anger,Negative,Resentment
8478,i need to feel my ears agonized by the high treble of a guitar amp turned all the way up ,sadness,Neutral,Sadness
8479,i spent a while in here otherwise i was in my room reading and working in the feeling good handbook or making notes on how to further keep my anger under control once i was discharged ,joy,Neutral,Happiness
8480,i feel absolutely defeated socially ,sadness,Positive,Hopefulness
8481,i was feeling rather playful last night as well ,joy,Positive,Elation
8482,i love the latter for their smooth feel and delicious flavours not to mention their awesome glossy appearance ,joy,Positive,Elation
8483,i feel like i am a little ungrateful but i love my home and sometimes getting away is a great way to remind you how much you love the life you have ,sadness,Positive,Hopefulness
8484,i know is that by the end of the reception i was feeling a little left out so when chris asked me to dance i was thrilled to accept ,joy,Positive,Elation
8485,i never kissed a guy because every time i d try i d freak out and feel disgusted ,anger,Negative,Resentment
8486,i feel doomed for wanting to get a doctorate of something besides medicine ,sadness,Negative,Despair
8487,i feel as if i had an unfortunate run in with tyler durden and his fight club ,sadness,Negative,Despair
8488,i always end up crying and feeling so hurt like its the end of the world ,sadness,Neutral,Sadness
8489,i am feeling something ive never ever felt before and its unpleasantly pleasant ,joy,Positive,Elation
8490,i use the noticer to discover the source of my feelings it allows me to understand and realize that there is no solution for these past feelings i am grappling with only compassionate awareness ,love,Positive,Passion
8491,i started to feel that irritated feeling ,anger,Negative,Resentment
8492,i feel sort of appreciative ,joy,Positive,Elation
8493,im so afraid that i will fuck it up like i did with phil but im at the perfect time in my life and this feels so much more flawless ,joy,Positive,Elation
8494,i feel divine original mix ,joy,Positive,Elation
8495,i started university at the age of and although it was incredibly nerve racking i feel organised and determined which is a far cry from the jess of years ago or maybe even for that matter ,joy,Neutral,Happiness
8496,i prove myself wrong here i am feeling ugly because i made no attempt to get out of my sleeping clothes oh and my eyebrows ,sadness,Negative,Despair
8497,i just hope we can help him feel less afraid and more supported and loved ,fear,Positive,Courage
8498,i feel lucky on my birthday ,joy,Positive,Elation
8499,i am starting to feel a little more welcomed into the sessions ,joy,Neutral,Happiness
8500,im feeling fabulous on friday and friends i would love for you to share with me ,joy,Positive,Elation
8501,i feel terrible for him but omg ,sadness,Negative,Despair
8502,i refuse to stay in this place we all have moments of feeling exhausted from very hard work and needing some validation in return ,sadness,Negative,Despair
8503,i don t want this to end just like i didn t want the series rock chicks to end but i feel like ka will keep on bringing us amazing stories with wonderful women and sexy men ,joy,Positive,Elation
8504,i find daunting my feelings soon change to that of wishing to rise to the challenge call it determined or even stubborn ,joy,Negative,Discontentment
8505,i feel like there needs to be a disclaimer that i am in no way romanticising the shitty aspects of this pairing okay it is fucked up beyond belief summary castiel holds the world in the palm of his hand ,sadness,Positive,Hopefulness
8506,i may feel that i am not precious to others ,joy,Positive,Elation
8507,i have nothing to compare this love to but i feel sure it is a true deep love ,joy,Positive,Elation
8508,i got home feeling extremely sleep deprived and spent a week getting caught up on all the different post conference emails and phone calls not to mention sleep and laundry ,sadness,Negative,Despair
8509,i really thought that after we had her i would stop feeling pained when i heard about other people getting pregnant ,sadness,Neutral,Sadness
8510,i feel like the addition of sweet fresh corn really adds a touch of summer to an otherwise heavy fall dish ,joy,Positive,Elation
8511,i like earreading audiobooks so much because they make me feel productive by getting reading done while im doing other things like driving ,joy,Positive,Elation
8512,i almost always feel fantastic after i exercise so i recommend doing it every day if you can ,joy,Positive,Elation
8513,i am feeling that bitter sweetness that comes from a deep recess in my soul ,anger,Neutral,Anger
8514,i know it s weird to see me call something review i feel weird saying it myself but i digress ,fear,Negative,Anxiety
8515,i feel so appreciative to have their support ,joy,Positive,Elation
8516,i was feeling super lazy too ,joy,Neutral,Happiness
8517,i recently attended a presentation by kingdom bank zimbabwe they are doing a series of road shows in and around zimbabwe i feel they are basically trying to get zimbabweans back into trusting the bank to some degree at least ,joy,Positive,Elation
8518,i still cant make it for longer than a half hour in the office before feeling awful and having someone drive me home but i feel perfectly fine when im sitting on my butt on the couch all day ,sadness,Positive,Hopefulness
8519,i feel beaten and bruised from their harshness and wearied by their relentlessness ,sadness,Negative,Despair
8520,i feel like it is cool for now but we wonder when fabolous plans to release his long awaited losos way rise to power album ,joy,Positive,Elation
8521,im feeling really lethargic and weird today ,sadness,Negative,Despair
8522,i feel somewhat hopeful about things ,joy,Positive,Elation
8523,i thought it was nice so i left feeling pretty satisfied with the cafe ,joy,Positive,Elation
8524,i feel extremely proud to live in a country where i can help to decide how i want my country run ,joy,Positive,Elation
8525,i like to feel that is exactly what i do for my beloved graham ,love,Positive,Passion
8526,i feel like they are a second family and they all are so supportive and love little miss rylin ,love,Positive,Passion
8527,i really do feel unfortunate for the person who has to carrry me ,sadness,Negative,Despair
8528,i do feel a bit guilty about the mean things ive said about jahmene as i heard his brother committed suicide so i think that abuse by their dad must have been pretty hardcore ,sadness,Negative,Despair
8529,i also feel hopeful when contacted by new congregations and then devastated when they choose another ,joy,Neutral,Happiness
8530,i want to feel admired and loved ,love,Positive,Passion
8531,i get the feeling she doesnt really want to talk to me now so im hesitant on what to do from now on ,fear,Negative,Anxiety
8532,i feel like the proud parent who gets to see both kids go off to school together hand in hand and not be separated ,joy,Positive,Elation
8533,i have so many bright little faces burned into my memory the kids who made my life feel worthwhile who made me feel glad that i had decided to apply to this program and who made the really difficult days worth it ,joy,Positive,Elation
8534,i can pick at my skin for a while and make myself feel terrible and then when i feel bad enough that i need to make myself feel better i can stop and theres the illusion of released pressure ,sadness,Negative,Despair
8535,i feel so honored that we could be a part of that fundraiser they did very well i am told and we hope to return another time ,joy,Positive,Elation
8536,i feel ugly i mean i m being calle ,sadness,Negative,Despair
8537,i am feeling festive and in the mood to give a gift ,joy,Positive,Elation
8538,i will say that i am satisfied with my draw and feel that it is a perfect fit ,joy,Positive,Elation
8539,i feel like this is going to be a terrific summer ,joy,Positive,Elation
8540,i can feel my life is the most wonderful ,joy,Positive,Elation
8541,i feel hated by ,anger,Negative,Resentment
8542,i had a blister the size of a quarter on my right foot so i wore my flip flops feeling badly about it until we got there and saw how casual the atmosphere was ,joy,Negative,Discontentment
8543,i started this blog is because i was desperately lonely and i wanted someone to know how i was feeling all of the ugly thoughts and emotions ,sadness,Negative,Despair
8544,i feel a fearless future ,joy,Positive,Elation
8545,i always feel like im entirely pathetic and needy but those people usually tell me that i was neither just quieter than usual ,sadness,Neutral,Sadness
8546,im feeling uncharacteristically smug to some extent as my usually unheard of planning has indeed beaten the weather with the toddler possessing a winter coat a polar fleece all in one and fluffy lined snow boots ,joy,Negative,Discontentment
8547,i wake up feeling all beaten up and i dont feel that way right now im probably going to be tempted to do the lake again ,sadness,Positive,Hopefulness
8548,i know that im carrying an obvious prejudice into all of this because of my own feelings about watching them be repeatedly tortured on this topic ,anger,Negative,Resentment
8549,i didnt feel particularly sociable ,joy,Positive,Elation
8550,i feel relaxed energized and im breathing more fully without extra effort ,joy,Positive,Elation
8551,i do feel devastated ,sadness,Negative,Despair
8552,i really do feel as if i can finally create something lovely in my new room ,love,Positive,Passion
8553,i have been feeling is any indication on this childs personality then i am petrified ,fear,Negative,Anxiety
8554,im feeling agitated again the usual evening mood that is becoming the norm ,fear,Neutral,Fear
8555,im not as mad and upset as i was on day but i feel scared now ,fear,Negative,Anxiety
8556,i have noticed more symptoms coming back over sleeping and eating feeling lethargic my temper and doing less around the house ,sadness,Negative,Despair
8557,i feel kind of strange ,fear,Negative,Anxiety
8558,i feel so lucky that my parents made a point to take us everywhere and anywhere they could ,joy,Positive,Elation
8559,i love more than anyone made me feel like i hated them sooo much but i knew i didnt which really hurt i ened up being a dick and crying for like an hour in front of people which was even more stupid ,sadness,Negative,Despair
8560,i dont know what i feel he seems sincere ,joy,Positive,Elation
8561,i feel this is the time to mention a fond farewell to one of our longest running sponsors a href http www ,love,Positive,Passion
8562,when my mother was seriously ill and had to be admitted to the hospital ,fear,Neutral,Fear
8563,i was reading through our old blog entries the other night feeling nostalgic and missing my boys and i came across our list of projects we had to do before we left ,love,Neutral,Love
8564,i should be able to head shot someone at the other end of a football field because i feel threatened by them ,fear,Neutral,Fear
8565,i feel furious about him not leaving ,anger,Negative,Resentment
8566,i am a year later heavier than ive ever been i gained back that lbs in the weeks i was pregnant trying to sort out feelings for my troubled marriage missing my hearts dream of dance wondering if ill ever want more kids again and if that makes me a horrible person ,sadness,Negative,Despair
8567,i love the passion and the feeling of wonderful uncertainty of those teenage years ,joy,Positive,Elation
8568,i feel like im single handedly supporting the tissue industry at the moment ,love,Positive,Passion
8569,i am feeling so weepy and emotional still ,sadness,Neutral,Sadness
8570,i feel like this is a dirty confession ,sadness,Negative,Despair
8571,ive been has been in the seat beside me in an airplane when i feel smug because they have to stop reading when the announcement goes out and my book is still open ,joy,Negative,Discontentment
8572,i get platitudes from well meaning folks that can make me feel like i should be bothered about things that don t bother me ,anger,Neutral,Anger
8573,i was cut into feeling pain that shocked me ,surprise,Negative,Dismay
8574,i have learned to not take myself seriously enough to feel humiliated ,sadness,Positive,Hopefulness
8575,i also began to feel my contractions at a very dull intensity ,sadness,Negative,Despair
8576,i feel insulted that he doesnt know me better than that ,anger,Neutral,Anger
8577,i kind of feel like he is sincere ,joy,Positive,Elation
8578,i love being able to wear track pants in the day time with the cuffs rolled up with anklets and ballet flats i love being ridiculously warm and feeling smug as i see people struggling with bags with their big coats with pockets like these who needs bags ,joy,Positive,Elation
8579,i feel weird when yuuki talks to other girls ,fear,Negative,Anxiety
8580,i feel especially thankful ,joy,Positive,Elation
8581,i type this i feel like one of those unfortunate animals that gets caught in washing machines and somehow survives much lighter ragged and half dead ,sadness,Negative,Despair
8582,im feeling a bit mellow this morning ,joy,Neutral,Happiness
8583,i see that through waiting it out on some of these desires and wrestling through the questions and feelings of purpose i see that god has been faithful and has now made a way for it to happen ,joy,Positive,Elation
8584,i was feeling very melancholy tonight for reasons i dont want to talk about ,sadness,Negative,Despair
8585,i feel so inspired ,joy,Neutral,Happiness
8586,i am feeling cranky or not cooperative i should be allowed to sleep or relax and if i am not given this opportunity it s not my fault if i body slam my bosses or harass museum visitors ,anger,Negative,Resentment
8587,i speak of friends online who drop me from friends lists i feel unloved and disregarded ,sadness,Neutral,Sadness
8588,i also feel like why is what i m going to say going to be important in any way shape or form ,joy,Positive,Elation
8589,i needed with money that i had occasionally made me feel guilty ,sadness,Negative,Despair
8590,i think i forgot that and that anyone who didnt feel enriched with me in their life should be welcomed to leave me ,joy,Neutral,Happiness
8591,im feeling very hopeful about graduating this fall ,joy,Neutral,Happiness
8592,i feel so dull and drowsy all the time ,sadness,Negative,Despair
8593,i feel almost embarrassed to be writing its been so long since i have ,sadness,Neutral,Sadness
8594,i feel its a must that i exspress my sincere appriciation for all your efforts ,joy,Positive,Elation
8595,i will feel better for a while that i will find my voice again for a while and that my physical body will continue to deteriorate ,joy,Neutral,Happiness
8596,i am feeling disappointed at myself for making mistakes or getting frustrated for not knowing a lot of things taryns words would be ringing in my head ,sadness,Negative,Despair
8597,i feel just complain that companies are becoming too rich because of the taxes imposed upon them ,joy,Neutral,Happiness
8598,i found it to be a deeply moving read and i feel it s a book that should be read twice because there s so much in there you ll discover the second time around which you might ve missed on the first read ,sadness,Negative,Despair
8599,ive lived too long feeling shitty being picked on and feeling like the odd one out ,sadness,Neutral,Sadness
8600,i feel like valentines day should about confessing romantic love said jin hee oh an office worker shopping at lotte department store ,love,Positive,Passion
8601,i feel a little pained but that will probably pass the last illusions of childhood ,sadness,Negative,Despair
8602,i worked very hard on holding my technique when i was tired and i feel sure that it is improving ,joy,Neutral,Happiness
8603,i feel like were kind of boring ,sadness,Neutral,Sadness
8604,i guess this is because that im feeling really excited about it ,joy,Positive,Elation
8605,i feel like washing and caring for the lunapads teaches a certain amount of appreciation for our things ,love,Positive,Passion
8606,i feel empty inside iphone wallpaper mobile wallpaper to your wap folder img src http images ,sadness,Neutral,Sadness
8607,i want more than anything is for my kids to feel loved safe and cared for ,love,Positive,Passion
8608,i need to go and im feeling a longing inside at that point for him ,love,Negative,Heartbreak
8609,i know beyond a shadow of a doubt that i am loved i feel the most unloved unworthy and rejected ive ever felt ,sadness,Negative,Despair
8610,i could curse swear be angry be sad be happy be moody etc etc on the things i write just because i feel kinda disturbed with the search queries displayed on the dashboard that containing my name full name blog s name or my usual nickname ,sadness,Negative,Despair
8611,i had a feeling you werent very fond of her ,love,Positive,Passion
8612,i am feeling listless without direction ,sadness,Negative,Despair
8613,i feel reluctant to supply this motion picture a score of stars from ,fear,Negative,Anxiety
8614,ill admit it im bitchy sometimes but i feel as time goes by im getting more bitchy with him than my other relationships that went past the month mark ,anger,Negative,Resentment
8615,i feel it is always important to have a career plan if i am not aiming towards something then i am not growing and developing new skills ,joy,Positive,Elation
8616,i had no obligations except the thesis which i didnt do i already started missing something that would make free time feel more valuable ,joy,Positive,Elation
8617,i just couldnt help feeling a little bit bitter towards his great big happy grin ,anger,Positive,Determination
8618,i am sitting here feeling a bit grumpy moanday blues anyone else feeling this way too ,anger,Negative,Resentment
8619,i feel ecstatic and happy and now anxious ,joy,Positive,Elation
8620,ive turned it on a bit but its feeling very casual ,joy,Neutral,Happiness
8621,i feel really greedy wanting all this stuff but my mom asked me to make a list so ,anger,Negative,Resentment
8622,i feel like i m murdering innocent brain cells thinking so hard about all these rather meaningless issues but i really want to maximise the use of weekends during this effed up army phase ,joy,Negative,Discontentment
8623,i feel like youre ashamed to be seen with me in public because im bigger than you ,sadness,Neutral,Sadness
8624,i now regret because i feel they were too positive about mediocre books and i think thats unfair on and detrimental to the books i actually really liked but gave a similar rating or review ,joy,Negative,Discontentment
8625,i feel so inspired by her motivation and passion that i wanted to share it here with you a href http ,joy,Positive,Elation
8626,i was starting to feel somewhat sympathetic toward ms finke ,love,Neutral,Love
8627,i feel smart yet comfortable in it i feel good when i wear it ,joy,Positive,Elation
8628,i feel very strongly about supporting the brave men and women who sacrifice for our nation said begleiter ,love,Positive,Passion
8629,i am not desperate for a job and don t really feel impressed to go find a job because i have one img src http randythomas ,surprise,Neutral,Surprise
8630,i feel lousy on a daily basis ,sadness,Negative,Despair
8631,i feel dirty even admitting that ive seen it much less own it on dvd ,sadness,Negative,Despair
8632,i couldnt help but feel sincere gratitude for the blessings of the lord in my life and the lives of my children ,joy,Positive,Elation
8633,i feel for steve irwins family but it was a tragic accident ,sadness,Negative,Despair
8634,i just have to close my eyes and feel that sweet gentle ache and i know ,joy,Positive,Elation
8635,i couldnt help but feel that all these people had missed the best of the day ,sadness,Neutral,Sadness
8636,im feeling stressed retail therapy is the way ,anger,Neutral,Anger
8637,when i got my bsc degree with first class ,joy,Neutral,Happiness
8638,i feel like i need to be some tortured soul in order to create words or whatever ,fear,Neutral,Fear
8639,i want to be extremely amp feel successful again ,joy,Positive,Elation
8640,i feel like we tortured him that whole time ,fear,Neutral,Fear
8641,i may have spent the last hours feeling like a tortured soul but on the other side its all sunshine and rainbows ,fear,Neutral,Fear
8642,im feeling a little apprehensive about this party ,fear,Negative,Anxiety
8643,i should feel blessed to have but what about me cause i thought i mattered in this situation ,joy,Neutral,Happiness
8644,i feel like i have doomed myself to failure ,sadness,Negative,Despair
8645,i very much enjoyed the build up and the air of suspense and confusion throughout but i cant help but feel dissatisfied by the ending ,anger,Negative,Resentment
8646,i fell for it big time and feel appropriately shamed ,sadness,Negative,Despair
8647,i will tell ya i have been following a very norma inspired diet for a week tomorrow and i feel amazing ,surprise,Positive,Excitement
8648,i just cannot write when i am so sick and that means more than a week of feeling rotten which means a stalled novel ,sadness,Negative,Despair
8649,i didnt feel any emotional pulls toward anyone except the lord ,sadness,Neutral,Sadness
8650,i feel assured that foods that are grown organic free from pesticides in soil and water that aren t contaminated that s good for us ,joy,Positive,Elation
8651,i feel pretty can you spot my son ,joy,Positive,Elation
8652,i heap the guilt on and feel worthless and embarrassed because of my lack of productivity ,sadness,Negative,Despair
8653,i entered a depression feeling helpless hopeless and adrift betrayed disillusioned and wondering who i could trust ,sadness,Negative,Despair
8654,ive definitely had that underwater feeling lately so i was relieved to take part in a lenten service at church today one designed to clear the head of transitory concerns ,joy,Neutral,Happiness
8655,i do not believe guns are the solution to feeling afraid ,fear,Negative,Anxiety
8656,im sleeping better i still just generally feel exhausted i so hope this feeling passes soon ,sadness,Neutral,Sadness
8657,i closed her eyes in anger and feeling disgusted by this touch ,anger,Negative,Resentment
8658,i need to really appreciate not wearing a coat and feeling the hot sun and going to the pool and eating ice cream ,love,Positive,Passion
8659,i also chat when i feel frustrated with guys but now i think about my future husband ,anger,Negative,Resentment
8660,i suppose i m feeling a little sarcastic about today s holiday ,anger,Negative,Resentment
8661,im already feeling less agitated ,anger,Neutral,Anger
8662,i feel dirty and don t know why ,sadness,Negative,Despair
8663,i feel it was perfect as a jumping off point for what is to come ,joy,Positive,Elation
8664,im feeling a bit melancholy for some reason so im not going to post further for now but hopefully this re discovery of my old thoughts and goals will help me to re align my focus a bit ,sadness,Negative,Despair
8665,i feel quite surprised that i have a fairly significant amount of blog readers ,surprise,Positive,Excitement
8666,i just feel like being selfish and really live my life ,anger,Neutral,Anger
8667,i feel a little sentimental about because i distinctly remember as a child celebrating my parents th birthdays and they seemed so ,sadness,Neutral,Sadness
8668,i feel even if he killed himself it was because he was agonized to that extent ,sadness,Negative,Despair
8669,im going at it with so much gusto i feel aching in my body already ,sadness,Neutral,Sadness
8670,i was happy with the progress but i was also beginning to feel a little hopeless ,sadness,Positive,Hopefulness
8671,i can feel it physically sort of aching and now im kind of expecting a response i dont know what it would say but ive got a good idea ,sadness,Neutral,Sadness
8672,i feel so blessed to be experiencing this season of my life as a new mother ,love,Neutral,Love
8673,i remember feeling so helpless i had been a mother for no less than hours and i had already failed my daughter ,sadness,Negative,Despair
8674,i wont feel resentful or smothered or annoyed ,anger,Negative,Resentment
8675,i do very well and feel relieved just talking about clearing the cobwebs of psychopathology how that affects my life now and what i m working on within me to overcome or at least manage it ,joy,Positive,Elation
8676,i am feeling more in control more comfortable adjusting to all terrain and more able to push myself each run ,joy,Positive,Elation
8677,i feel like i missed my calling id be a damn good special ed teacher ,sadness,Neutral,Sadness
8678,i also like to try to answer the tough questions people have so feel free to post some ,joy,Positive,Elation
8679,i feel the longing for the way things used to be makes the ride a bit of an emotional roller coaster ,love,Negative,Heartbreak
8680,i will try to tackle issues such as the bills that make their way through congress as well as those that i feel should be on the table for issues to be resolved ,joy,Negative,Discontentment
8681,im feeling rather hostile over the whole hostel situation ,anger,Negative,Resentment
8682,i feel like one of those devoted fans who follows their favorite band while they are on tour only years late ,love,Positive,Passion
8683,i try my best to be stoic i try to keep myself from feeling any emotions by being carefree and far from serious ,joy,Positive,Elation
8684,i am feeling a little more confident i haven t totally lost my mojo but time is running out ,joy,Neutral,Happiness
8685,i hope to use this blog site to put my feelings into words and let myself look back and see how determined i am this beautiful morning to be healthier ,joy,Positive,Elation
8686,im feeling awfully overwhelmed by everything right now the demands from mother the needs of my family trying to shield my dear husband from as much as possible the list goes on and on ,surprise,Negative,Dismay
8687,i do eat rawly goodness i feel radiant ,joy,Positive,Elation
8688,i do at times feel complacent with my life as is ,joy,Negative,Discontentment
8689,ive been thinking about it because recently theres been times ive been overwhelmed with gratitude to the point of tears and other times im thinking about it because im im feeling so incredibly ungrateful maybe also to the point of tears and wondering why ,sadness,Neutral,Sadness
8690,im feeling really festive now tree is up amp decorated apart from the fairy shes still in the loft will have to go and find her tomorrow ,joy,Positive,Elation
8691,i did that at the recent french open with the claret jug so i now feel somewhat reluctant i got close to the claret jug in france as i felt afterwards i want to be able to do that till hopefully win the open and then get to bond it for the next twelve months ,fear,Neutral,Fear
8692,i feel very confident that its a good one ,joy,Positive,Elation
8693,i feel amazing doctor ,surprise,Positive,Excitement
8694,i feel ecstatic when youre with me mr mrs lightning rod ,joy,Positive,Elation
8695,i would love to go into this for two reasons i care about how people feel and im a very sweet person so i think id be good at it and helping them get through it ,joy,Positive,Elation
8696,i was talking to elder ditlevsen the other day about my plans at college and things and how you guys were all way excited for me to get back and he told me that he remembered feeling a little nervous as a parent ,fear,Neutral,Fear
8697,i feel proud to be queer performing at lovebox ,joy,Neutral,Happiness
8698,a girl entered in the division where i work and greeted everybody but not me ,anger,Positive,Determination
8699,i try to hold my tongue try to see it from his point of view but inside i am feeling agitated and irritable about all this pressure to please him when i cannot seem to get my own self in order ,fear,Negative,Anxiety
8700,im in a strange situation or feeling awkward i sometimes switch into comedian mode a bit of a defence mechanism from my self conscious school days and turned some of the sessions into katrinas minute stand up routine ,sadness,Negative,Despair
8701,a certain friend tried to push me off a seat in a very violent way for no apparent reason it may be that he was excited about something ,anger,Neutral,Anger
8702,i was worried that it would be awkward and i would feel lonely ,sadness,Negative,Despair
8703,i feel like i ve given him half the responsibility of caring for my kids ,love,Positive,Passion
8704,i feel passionate about and feeling so utterly completely free ,joy,Positive,Elation
8705,i hurt their feelings for refusing to listen to their spiteful hurtful sniping at others ,anger,Negative,Resentment
8706,i cleared my head and have come back feeling determined to further myself in my career ,joy,Positive,Elation
8707,i feel very irritated and annoyed today ,anger,Negative,Resentment
8708,i am a bit too impractical in thoughts as i feel that makes life less doubtful ,fear,Negative,Anxiety
8709,i recently learned that there is a very slight difference between empathetic and sympathetic in definition empathetic being able to actually feel the emotion and sympathetic being the ability to understand the emotion and i realized that there is also a fine line between the two in writing ,love,Positive,Passion
8710,i feel so disturbed i have been having difficulties sleeping ,sadness,Negative,Despair
8711,i should feel all weepy ,sadness,Neutral,Sadness
8712,i am feeling more generous though i see it for what it is someone who doesn t know what we are going through from the insdie and is desperate to be helpful in some measure ,love,Positive,Passion
8713,i often feel overwhelmed with all of the office and administration work required of the teacher ,fear,Neutral,Fear
8714,ive eaten today well ill give you the highlights i feel like focusing on the negatives like that unpleasant green curry from thai club ,sadness,Positive,Hopefulness
8715,im heartbroken about in love with the world but i think maybe im feeling heartbroken so acutely is it came to me today that every time ive been asked to stay somewhere in the past years or so ive left ,sadness,Positive,Hopefulness
8716,i wrong to feel so aggravated ,anger,Negative,Resentment
8717,i feel like if i m too fake with lighting you ll be taken away and not immersed in the story ,sadness,Neutral,Sadness
8718,i feel so rude i thought as i dialed my house ,anger,Negative,Resentment
8719,i feel ridiculously glamourous in it i never want to take it off i may become a recluse just so that i can wear this dressing gown all day swan about ,joy,Negative,Discontentment
8720,i feel im getting less and less vigorous ,joy,Neutral,Happiness
8721,im feeling discontent with my sex life i feel like crying like venting about it ,sadness,Positive,Hopefulness
8722,i finally get it right i feel happily smug and relieved that a piece of work is done ,joy,Positive,Elation
8723,i didnt feel if i was having a shitty day i wouldnt usually come right out and say i was having a shitty day ,sadness,Positive,Hopefulness
8724,i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah ,anger,Negative,Resentment
8725,i cant help but feel excited for the part where i get to hang out with him and we can start to talk like friends talk and watch each other live our separate lives ,joy,Positive,Elation
8726,i feel empty and lonely i want to cry but i cant i want to scream and im afraid to ,sadness,Negative,Despair
8727,i won t say that i didn t feel any fear because i did but i was surprised at how calm i was ,surprise,Positive,Excitement
8728,i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch ,anger,Negative,Resentment
8729,during the weekend at home ,anger,Neutral,Anger
8730,i didnt really feel an appetite for noodles i chose a bowl of rice with sweet potatoe tempura amp miso soup was included ,joy,Positive,Elation
8731,i feel like being friendly is a chore but without people around me i feel lonely ,joy,Neutral,Happiness
8732,im feeling fairly miserable about this ,sadness,Neutral,Sadness
8733,i feel low or exhausted i either watch this movie or listen to this poetry ,sadness,Negative,Despair
8734,i was so scared it wasnt even funny it just made me feel more pathetic and stupid ,sadness,Negative,Despair
8735,im ready to start my shots again that two and a half weeks off just flies and im feeling miserable about it the thought that these peeps will be helping me through it makes it a bearable experience to the point where when this whole thing is done and dusted i will actually miss them all ,sadness,Neutral,Sadness
8736,i feel complacent if i were to choose the secure path probably not i think id find adventure in anything ,joy,Neutral,Happiness
8737,i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away ,anger,Neutral,Anger
8738,i feel embarrassed looking at wedding dresses ,sadness,Neutral,Sadness
8739,i feel like there has been way too much products on the blog lately and i miss the amazing home ,joy,Positive,Elation
8740,i consistently ask myself especially when i am feeling low or having doubts about my future ,sadness,Neutral,Sadness
8741,im reading through the online world of blogs i start feeling pretty dumb ,sadness,Neutral,Sadness
8742,i had to go to the gym so many times this last spring that i just kind of got used to feeling neurotic and then the neurotic feeling kind of went away ,fear,Negative,Anxiety
8743,i cant really explain the feeling i get inside when someone is mad at me ,anger,Negative,Resentment
8744,i dont think that happens a lot so i feel insanely cranky when i couldnt get an ear immediately ,anger,Negative,Resentment
